url,status,title,address_street,area,quartos,suite,banheiros,vagas,andar,pet,mobiliado,metro_proximo,Aluguel,Condomínio,IPTU,Seguro incêndio,Taxa de serviço,Total
https://www.quintoandar.com.br/imovel/895004797/alugar/apartamento-1-quarto-vila-butanta-sao-paulo?from_route=%22search_results%22&search_id=%22fc0779cf-b377-49d6-8033-242941085b8f%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A273%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 24m², 1 quarto e sem vaga",Condomínios em São Paulo,24,1.0,1,1.0,,12° a 15° andar,sim,sim,não,R$ 2.250,R$ 400,R$ 40,R$ 29,R$ 58,R$ 2.777
https://www.quintoandar.com.br/imovel/895059744/alugar/casa-3-quartos-pinheiros-sao-paulo?from_route=%22search_results%22&search_id=%22fc0779cf-b377-49d6-8033-242941085b8f%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A993%2C%22personalization%22%3Atrue%7D,success,"Casa para alugar com 280m², 3 quartos e 1 vaga",Rua Mourato Coelho,280,3.0,0,2.0,1.0,,sim,não,não,R$ 8.629,Incluso,R$ 792,R$ 143,R$ 223,R$ 9.787
https://www.quintoandar.com.br/imovel/895028386/alugar/kitnet-1-quarto-butanta-sao-paulo?from_route=%22search_results%22&house_tags=newAd&house_tags=rentPriceDecreased&search_id=%22fc0779cf-b377-49d6-8033-242941085b8f%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A9%2C%22personalization%22%3Afalse%7D,success,"Studio para alugar com 25m², 1 quarto e sem vaga",Condomínios em São Paulo,25,1.0,0,1.0,,4° a 7° andar,sim,sim,sim,R$ 2.650,R$ 554,R$ 67,R$ 34,R$ 68,R$ 3.373
https://www.quintoandar.com.br/imovel/894652611/alugar/casa-1-quarto-morumbi-sao-paulo?from_route=%22search_results%22&search_id=%22fc0779cf-b377-49d6-8033-242941085b8f%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A884%2C%22personalization%22%3Atrue%7D,success,"Casa para alugar com 90m², 1 quarto e sem vaga",Rua João Scaciotti,90,1.0,0,1.0,,,não,não,sim,R$ 2.000,Incluso,R$ 122,R$ 34,R$ 51,R$ 2.207
https://www.quintoandar.com.br/imovel/895047768/alugar/casa-3-quartos-jardim-bonfiglioli-sao-paulo?from_route=%22search_results%22&search_id=%22fc0779cf-b377-49d6-8033-242941085b8f%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A335%2C%22personalization%22%3Atrue%7D,success,"Casa para alugar com 175m², 3 quartos e 2 vagas",Rua Doutor Romeo Ferro,175,3.0,1,2.0,2.0,,sim,não,não,R$ 4.800,Incluso,R$ 359,R$ 80,R$ 124,R$ 5.363
https://www.quintoandar.com.br/imovel/893065936/alugar/casa-3-quartos-vila-madalena-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&search_id=%22fc0779cf-b377-49d6-8033-242941085b8f%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A920%2C%22personalization%22%3Atrue%7D,success,"Casa para alugar com 149m², 3 quartos e 3 vagas",Rua Alfredo Piragibe,149,3.0,1,2.0,3.0,,sim,não,sim,R$ 8.000,Incluso,R$ 215,R$ 133,R$ 207,R$ 8.555
https://www.quintoandar.com.br/imovel/893526019/alugar/casa-4-quartos-alto-de-pinheiros-sao-paulo?from_route=%22search_results%22&search_id=%22fc0779cf-b377-49d6-8033-242941085b8f%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A632%2C%22personalization%22%3Atrue%7D,success,"Casa para alugar com 400m², 4 quartos e 6 vagas",Avenida São Gualter,400,4.0,1,3.0,6.0,,não,não,não,R$ 15.000,Incluso,R$ 2.667,R$ 249,R$ 388,R$ 18.304
https://www.quintoandar.com.br/imovel/894939854/alugar/kitnet-1-quarto-butanta-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&search_id=%22fc0779cf-b377-49d6-8033-242941085b8f%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A44%2C%22personalization%22%3Atrue%7D,success,"Studio para alugar com 25m², 1 quarto e sem vaga",Condomínios em São Paulo,25,1.0,0,1.0,,16° a 19° andar,sim,não,sim,R$ 2.410,R$ 566,R$ 0,R$ 31,R$ 62,R$ 3.069
https://www.quintoandar.com.br/imovel/894399306/alugar/apartamento-3-quartos-pinheiros-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&house_tags=rentPriceDecreased&search_id=%22fc0779cf-b377-49d6-8033-242941085b8f%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A737%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 60m², 3 quartos e 1 vaga",Condomínios em São Paulo,60,3.0,0,1.0,1.0,Até 3° andar,sim,não,não,R$ 3.450,R$ 500,R$ 130,R$ 44,R$ 89,R$ 4.213
https://www.quintoandar.com.br/imovel/894945495/alugar/kitnet-1-quarto-butanta-sao-paulo?from_route=%22search_results%22&house_tags=rentPriceDecreased&search_id=%22fc0779cf-b377-49d6-8033-242941085b8f%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A120%2C%22personalization%22%3Atrue%7D,success,"Studio para alugar com 27m², 1 quarto e sem vaga",Rua Camargo,27,1.0,1,1.0,,12° a 15° andar,sim,não,sim,R$ 2.179,R$ 360,R$ 0,R$ 28,R$ 56,R$ 2.623
https://www.quintoandar.com.br/imovel/895048085/alugar/apartamento-2-quartos-vila-madalena-sao-paulo?from_route=%22search_results%22&house_tags=rentPriceDecreased&search_id=%22fc0779cf-b377-49d6-8033-242941085b8f%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A656%2C%22personalization%22%3Atrue%7D,success,"Apartamento para alugar com 140m², 2 quartos e 2 vagas",Condomínios em São Paulo,140,2.0,0,2.0,2.0,16° a 19° andar,sim,não,não,R$ 7.670,R$ 1.980,R$ 400,R$ 98,R$ 198,R$ 10.346
https://www.quintoandar.com.br/imovel/894880251/alugar/kitnet-1-quarto-alto-de-pinheiros-sao-paulo?from_route=%22search_results%22&house_tags=exclusivity&house_tags=rentPriceDecreased&search_id=%22fc0779cf-b377-49d6-8033-242941085b8f%22&search_rank=%7B%22sortMode%22%3A%22relevance%22%2C%22searchMode%22%3A%22list%22%2C%22resultsOrigin%22%3A%22search%22%2C%22rank%22%3A983%2C%22personalization%22%3Atrue%7D,success,"Studio para alugar com 30m², 1 quarto e 1 vaga",Condomínios em São Paulo,30,1.0,0,1.0,1.0,12° a 15° andar,sim,sim,sim,R$ 3.500,R$ 734,R$ 114,R$ 45,R$ 90,R$ 4.483
