pet,mobiliado,metro_proximo,area,quartos,suite,banheiros,aluguel,condominio,iptu,seguro_incendio,taxa_servico,total,cost_per_m2,cluster
0,0,0,20.0,1.0,1,1.0,1700.0,0.0,0.0,22.0,44.0,1766.0,85.0,4
0,0,1,25.0,1.0,0,1.0,1700.0,0.0,0.0,22.0,44.0,1766.0,68.0,4
0,1,0,40.0,1.0,1,1.0,1700.0,0.0,0.0,22.0,44.0,1766.0,42.5,4
0,0,0,20.0,1.0,1,1.0,1700.0,0.0,0.0,22.0,44.0,1766.0,85.0,4
0,0,1,21.0,1.0,0,1.0,1700.0,0.0,0.0,22.0,44.0,1766.0,80.95,4
1,0,0,25.0,1.0,1,1.0,1700.0,10.0,0.0,22.0,44.0,1776.0,68.0,4
0,0,0,90.0,2.0,0,1.0,1700.0,0.0,116.0,29.0,44.0,1889.0,18.89,4
0,0,0,25.0,1.0,1,1.0,1700.0,150.0,0.0,22.0,44.0,1916.0,68.0,4
0,0,0,25.0,1.0,0,1.0,1700.0,150.0,0.0,22.0,44.0,1916.0,68.0,4
0,0,0,25.0,1.0,0,1.0,1700.0,150.0,0.0,22.0,44.0,1916.0,68.0,4
0,0,0,25.0,1.0,0,1.0,1700.0,150.0,0.0,22.0,44.0,1916.0,68.0,4
1,0,0,50.0,1.0,0,1.0,1700.0,350.0,0.0,22.0,44.0,2116.0,34.0,4
1,0,0,25.0,1.0,0,1.0,1700.0,350.0,0.0,22.0,44.0,2116.0,68.0,4
1,0,0,25.0,1.0,0,1.0,1700.0,350.0,0.0,22.0,44.0,2116.0,68.0,4
1,0,0,84.0,2.0,0,1.0,1700.0,150.0,196.0,29.0,44.0,2119.0,20.24,4
1,0,0,84.0,2.0,0,1.0,1700.0,150.0,196.0,29.0,44.0,2119.0,20.24,4
0,0,1,35.0,2.0,0,1.0,1700.0,380.0,15.0,22.0,44.0,2161.0,48.57,4
0,0,1,35.0,2.0,0,1.0,1700.0,380.0,15.0,22.0,44.0,2161.0,48.57,4
1,0,0,29.0,1.0,0,1.0,1700.0,400.0,34.0,22.0,44.0,2200.0,58.62,4
1,0,0,29.0,1.0,0,1.0,1700.0,400.0,34.0,22.0,44.0,2200.0,58.62,4
1,0,1,35.0,2.0,0,1.0,1700.0,450.0,0.0,22.0,44.0,2216.0,48.57,4
1,0,1,20.0,1.0,1,1.0,1700.0,1500.0,50.0,22.0,44.0,3316.0,85.0,0
1,0,1,20.0,1.0,1,1.0,1700.0,1500.0,50.0,22.0,44.0,3316.0,85.0,0
1,0,1,20.0,1.0,1,1.0,1700.0,1500.0,50.0,22.0,44.0,3316.0,85.0,0
0,0,0,38.0,1.0,0,1.0,1750.0,0.0,0.0,29.0,45.0,1824.0,46.05,4
1,0,0,27.0,1.0,0,1.0,1750.0,315.0,0.0,23.0,45.0,2133.0,64.81,4
0,0,1,72.0,3.0,0,2.0,1750.0,549.0,0.0,23.0,45.0,2367.0,24.31,4
0,0,1,72.0,3.0,0,2.0,1750.0,549.0,0.0,23.0,45.0,2367.0,24.31,4
0,0,1,72.0,3.0,0,2.0,1750.0,549.0,0.0,23.0,45.0,2367.0,24.31,4
1,0,1,50.0,2.0,0,1.0,1750.0,963.0,44.0,23.0,45.0,2825.0,35.0,4
0,1,0,20.0,1.0,1,1.0,1800.0,0.0,0.0,23.0,46.0,1869.0,90.0,4
0,1,1,23.0,1.0,0,1.0,1800.0,0.0,0.0,23.0,46.0,1869.0,78.26,4
0,0,0,55.0,1.0,1,1.0,1800.0,50.0,33.0,23.0,46.0,1952.0,32.73,4
1,0,0,100.0,2.0,2,3.0,1800.0,0.0,83.0,30.0,46.0,1959.0,18.0,4
1,0,0,50.0,1.0,0,1.0,1800.0,0.0,85.0,30.0,46.0,1961.0,36.0,4
1,0,0,50.0,1.0,0,1.0,1800.0,0.0,85.0,30.0,46.0,1961.0,36.0,4
1,1,0,35.0,1.0,0,1.0,1800.0,100.0,0.0,23.0,46.0,1969.0,51.43,4
1,0,0,55.0,1.0,0,1.0,1800.0,0.0,167.0,23.0,46.0,2036.0,32.73,4
1,0,0,55.0,1.0,0,1.0,1800.0,0.0,167.0,23.0,46.0,2036.0,32.73,4
1,0,1,32.0,2.0,0,1.0,1800.0,540.0,1.0,23.0,46.0,2410.0,56.25,4
1,0,1,32.0,2.0,0,1.0,1800.0,540.0,1.0,23.0,46.0,2410.0,56.25,4
1,0,1,32.0,2.0,0,1.0,1800.0,540.0,1.0,23.0,46.0,2410.0,56.25,4
1,0,0,65.0,2.0,0,2.0,1800.0,650.0,0.0,23.0,46.0,2519.0,27.69,4
1,1,0,55.0,2.0,0,1.0,1800.0,650.0,0.0,23.0,46.0,2519.0,32.73,4
1,1,0,55.0,2.0,0,1.0,1800.0,650.0,0.0,23.0,46.0,2519.0,32.73,4
1,0,0,65.0,2.0,0,2.0,1800.0,650.0,0.0,23.0,46.0,2519.0,27.69,4
1,0,0,65.0,2.0,0,1.0,1800.0,800.0,0.0,23.0,46.0,2669.0,27.69,4
1,0,1,25.0,1.0,1,1.0,1810.0,754.0,285.0,23.0,46.0,2918.0,72.4,4
1,0,0,45.0,2.0,0,1.0,1820.0,370.0,0.0,24.0,47.0,2261.0,40.44,4
1,0,0,45.0,2.0,0,1.0,1820.0,370.0,0.0,24.0,47.0,2261.0,40.44,4
1,0,0,38.0,2.0,0,1.0,1825.0,380.0,78.0,24.0,47.0,2354.0,48.03,4
1,0,0,38.0,2.0,0,1.0,1825.0,380.0,78.0,24.0,47.0,2354.0,48.03,4
1,0,0,50.0,2.0,0,1.0,1850.0,600.0,4.0,24.0,47.0,2525.0,37.0,4
0,0,0,55.0,2.0,0,1.0,1850.0,634.0,0.0,24.0,47.0,2555.0,33.64,4
1,0,0,56.0,2.0,0,1.0,1850.0,960.0,0.0,24.0,47.0,2881.0,33.04,4
1,0,0,70.0,2.0,0,1.0,1850.0,1013.0,234.0,24.0,47.0,3168.0,26.43,4
1,0,0,25.0,1.0,0,1.0,1857.0,325.0,30.0,24.0,48.0,2284.0,74.28,4
1,0,0,25.0,1.0,0,1.0,1857.0,325.0,30.0,24.0,48.0,2284.0,74.28,4
1,0,0,60.0,1.0,0,1.0,1870.0,0.0,0.0,31.0,48.0,1949.0,31.17,4
1,0,1,35.0,2.0,0,1.0,1870.0,290.0,8.0,24.0,48.0,2240.0,53.43,4
1,0,1,35.0,2.0,0,1.0,1870.0,290.0,8.0,24.0,48.0,2240.0,53.43,4
1,0,0,70.0,2.0,1,1.0,1872.0,0.0,68.0,31.0,48.0,2019.0,26.74,4
1,0,1,35.0,2.0,0,1.0,1880.0,530.0,0.0,24.0,48.0,2482.0,53.71,4
1,0,0,25.0,1.0,0,1.0,1890.0,350.0,0.0,24.0,48.0,2312.0,75.6,4
0,0,0,30.0,1.0,0,1.0,1900.0,150.0,0.0,25.0,49.0,2124.0,63.33,4
0,0,0,30.0,1.0,0,1.0,1900.0,150.0,0.0,25.0,49.0,2124.0,63.33,4
0,0,0,35.0,1.0,0,1.0,1900.0,150.0,0.0,25.0,49.0,2124.0,54.29,4
0,0,0,30.0,1.0,0,1.0,1900.0,150.0,0.0,25.0,49.0,2124.0,63.33,4
0,0,0,30.0,1.0,0,1.0,1900.0,150.0,0.0,25.0,49.0,2124.0,63.33,4
0,0,0,35.0,1.0,0,1.0,1900.0,150.0,0.0,25.0,49.0,2124.0,54.29,4
